"schema_version","as_of","currency","profile__user_id","profile__name","profile__age","profile__dob","profile__marital_status","profile__dependents__name","profile__dependents__age","profile__dependents__relationship","profile__citizenship","profile__residency__country","profile__residency__state","profile__residency__city","profile__residency__zip","employment__status","employment__employer","employment__title","employment__start_date","employment__salary_gross_annual","employment__pay_frequency","employment__expected_bonus_annual","employment__stock_comp__espp_discount","employment__stock_comp__espp_contribution_rate","employment__stock_comp__rsu_annual_grant_value","employment__stock_comp__rsu_vesting_schedule","partner_employment__status","partner_employment__employer","partner_employment__title","partner_employment__salary_gross_annual","partner_employment__pay_frequency","tax_profile__filing_status","tax_profile__state","tax_profile__itemize","benefits__health_plan","benefits__hsa_eligible","benefits__hsa_employer_contribution_annual","benefits__retirement_plan__type","benefits__retirement_plan__match_formula","benefits__retirement_plan__match_max_match_pct","preferences__risk_tolerance","preferences__rebalance_preference","goals__goal_id","goals__name","goals__target_age","goals__target_amount_future","goals__assumptions__real_return","goals__assumptions__inflation","goals__target_amount","goals__target_year","goals__target_date","goals__priority","goals__status","accounts__account_id","accounts__type","accounts__institution","accounts__balance","liabilities__liability_id","liabilities__type","liabilities__property_address","liabilities__current_balance","liabilities__monthly_payment","property__property_id","property__type","property__estimated_value","insurance__policy_id","insurance__type","insurance__coverage","insurance__insured","insurance__premium_annual","insurance__face_amount","recurring_cashflows__id","recurring_cashflows__name","recurring_cashflows__from_account_id","recurring_cashflows__to_account_id","recurring_cashflows__amount","recurring_cashflows__frequency","transactions__tx_id","transactions__date","transactions__account_id","transactions__amount","transactions__merchant"
"1.0","2025-08-12","USD","u_2001","Jordan Lee","35","1990-02-14","married_filing_jointly","Ella","6","child","US","US","NY","Brooklyn","11215","full_time","MetroMed Inc.","Data Scientist","2020-05-01","165000","biweekly","12000","0.15","0.07","18000","4y/1y cliff, quarterly thereafter","self_employed","Freelance Design","Illustrator","60000","monthly","married_filing_jointly","NY","True","PPO","True","1200","401k","100% of first 5%","0.05","moderate","quarterly","g_emergency","Emergency Fund","","","","","40000","","2027-12-31","1","in_progress","chk_2001","checking","Bank of America","9200.15","mtg_2001","mortgage","224 8th St, Brooklyn, NY","685200","3450.00","home_2001","primary_residence","950000","term_life_2001","term_life","","Jordan Lee","","750000","pay_jordan","Jordan Paycheck","","chk_2001","3800.00","biweekly","t2001","2025-08-09","chk_2001","-162.45","Trader Joe's"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","g_retirement","Retirement","60","2000000","0.045","0.025","","","","","","sav_2001","high_yield_savings","Ally","18000.50","","","","","","","","","auto_2001","auto","","Jordan Lee","960","","bill_mortgage","Mortgage Payment","chk_2001","","3450.00","monthly","t2002","2025-08-06","chk_2001","-48.99","Netflix"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","401k_2001","401k","Fidelity","102500.00","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","2025-08-12","USD","u_2002","Sophia Martinez","29","1996-07-22","single","","","","US","US","CA","San Francisco","94117","full_time","TechSpark","Software Engineer","2019-03-15","140000","biweekly","15000","","","","","","","","","","single","CA","False","","","","","","","","","g_home","Home Purchase","","","","","120000","2030","","","planned","chk_2002","checking","Chase","6100.00","stud_2002","student_loan","","14500","195","","","","","","","","","","","","","","","","t2101","2025-08-05","chk_2002","-36.90","Uber"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","401k_2002","401k","Vanguard","52000.00","","","","","","","","","","","","","","","","","","","","","t2102","2025-08-06","chk_2002","-550.00","Rent"
"1.0","2025-08-12","USD","u_2003","Michael Chen","41","1984-11-02","married_filing_jointly","Lucas","11","child","US","US","WA","Seattle","98109","full_time","CloudNet","Systems Architect","","180000","","","","","","","part_time","","Teacher","40000","","","","","","","","","","","","","","","","","","","","","","","","chk_2003","checking","","7400.00","mtg_2003","mortgage","","420000","2800.00","home_2003","primary_residence","750000","","","","","","","","","","","","","t2201","2025-08-07","chk_2003","-122.75","Costco"
"","","","","","","","","Anna","9","child","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sav_2003","savings","","25000.00","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","","","u_2004","Emily Brown","32","","single parent","Noah","4","child","","","TX","Austin","73301","full_time","HealthFirst","Nurse","","78000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","chk_2004","checking","","3400.00","auto_2004","auto_loan","","15800","410","","","","","","","","","","","","","","","","t2301","2025-08-08","","-75.50","HEB Grocery"
"1.0","","","u_2005","Carlos Ramirez","45","","married_filing_jointly","","","","","","FL","Miami","","self_employed","","Restaurant Owner","","120000","","","","","","","","","","","","","","","","","","","","","","","g_expand","Restaurant Expansion","","","","","95000","","","","planned","bizchk_2005","checking","","18200.00","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.0","","","u_2006","Hannah Kim","27","","single","","","","","","IL","Chicago","","full_time","","UX Designer","","85000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","chk_2006","checking","","2900.00","stud_2006","student_loan","","22000","250","","","","","","","","","","","","","","","","","","","",""
